"Date","Price","Open","High","Low","Vol.","Change %"
"15-05-2024","18,160.00","17,692.00","18,450.00","17,692.00","3.91K","1.37%"
"14-05-2024","17,914.00","18,276.00","18,366.00","17,754.00","5.06K","-1.89%"
"13-05-2024","18,260.00","18,418.00","18,696.00","18,180.00","2.25K","-2.34%"
"10-05-2024","18,698.00","18,794.00","18,872.00","18,000.00","4.32K","-0.17%"
"09-05-2024","18,730.00","18,802.00","18,950.00","18,630.00","1.91K","-0.78%"
"08-05-2024","18,878.00","18,402.00","19,100.00","18,150.00","4.16K","2.20%"
"07-05-2024","18,472.00","18,334.00","18,564.00","18,200.00","2.04K","0.39%"
"06-05-2024","18,400.00","18,648.00","18,648.00","18,132.00","3.37K","-2.29%"
"03-05-2024","18,832.00","19,350.00","19,378.00","18,740.00","3.70K","-1.68%"
"02-05-2024","19,154.00","19,400.00","19,488.00","18,960.00","4.19K","-0.30%"
"30-04-2024","19,212.00","18,998.00","19,320.00","18,824.00","1.91K","1.21%"
"29-04-2024","18,982.00","19,270.00","19,400.00","18,640.00","3.55K","-0.25%"
"26-04-2024","19,030.00","19,400.00","19,580.00","18,940.00","3.48K","-0.27%"
"25-04-2024","19,082.00","19,350.00","19,516.00","18,224.00","5.41K","-1.57%"
"24-04-2024","19,386.00","19,810.00","20,174.00","18,980.00","6.49K","-0.87%"
"23-04-2024","19,556.00","18,550.00","19,688.00","18,548.00","6.91K","5.29%"
"22-04-2024","18,574.00","18,220.00","18,902.00","18,220.00","3.22K","12.88%"
"19-04-2024","16,454.00","16,454.00","16,454.00","16,454.00","0.05K","0.00%"
"18-04-2024","16,454.00","16,454.00","16,454.00","16,454.00","0.02K","0.00%"
"16-04-2024","16,454.00","16,298.00","16,598.00","16,298.00","0.14K","2.95%"
"15-04-2024","15,982.00","16,000.00","16,038.00","15,930.00","0.47K","2.15%"
"12-04-2024","15,646.00","16,050.00","16,084.00","15,590.00","4.39K","-4.14%"
"10-04-2024","16,322.00","16,600.00","16,600.00","16,264.00","2.64K","-1.67%"
"09-04-2024","16,600.00","16,786.00","16,830.00","16,462.00","2.19K","-1.23%"
"08-04-2024","16,806.00","17,040.00","17,040.00","16,630.00","2.17K","-0.06%"
"05-04-2024","16,816.00","16,758.00","16,950.00","16,532.00","3.11K","0.18%"
"04-04-2024","16,786.00","16,874.00","17,036.00","16,624.00","3.05K","-0.25%"
"03-04-2024","16,828.00","16,640.00","16,948.00","16,640.00","3.25K","1.72%"
"02-04-2024","16,544.00","16,554.00","16,700.00","16,090.00","5.65K","0.05%"
"01-04-2024","16,536.00","17,150.00","17,150.00","16,324.00","4.45K","-3.51%"
"28-03-2024","17,138.00","17,492.00","17,580.00","16,800.00","3.73K","-1.62%"
"27-03-2024","17,420.00","17,450.00","17,758.00","17,234.00","1.76K","-0.26%"
"26-03-2024","17,466.00","17,618.00","18,186.00","17,222.00","3.57K","-0.13%"
"22-03-2024","17,488.00","16,798.00","17,748.00","16,510.00","6.53K","4.36%"
"21-03-2024","16,758.00","17,920.00","17,950.00","16,672.00","9.98K","-5.51%"
"20-03-2024","17,736.00","17,580.00","17,980.00","17,422.00","3.42K","1.27%"
"19-03-2024","17,514.00","17,518.00","17,700.00","17,090.00","3.49K","-0.17%"
"18-03-2024","17,544.00","17,800.00","18,050.00","17,062.00","4.82K","-0.60%"
"15-03-2024","17,650.00","18,670.00","18,798.00","17,620.00","5.01K","-5.84%"
"14-03-2024","18,744.00","19,120.00","19,120.00","18,310.00","4.60K","-3.23%"
"13-03-2024","19,370.00","18,692.00","19,776.00","18,560.00","4.72K","3.74%"
"12-03-2024","18,672.00","19,272.00","19,700.00","18,504.00","4.06K","-2.60%"
"11-03-2024","19,170.00","18,550.00","19,170.00","18,462.00","4.53K","5.99%"
"07-03-2024","18,086.00","17,600.00","18,428.00","17,470.00","6.15K","4.03%"
"06-03-2024","17,386.00","17,198.00","17,488.00","16,910.00","2.16K","1.82%"
"05-03-2024","17,076.00","17,500.00","17,500.00","16,980.00","2.25K","-2.32%"
"04-03-2024","17,482.00","16,990.00","17,778.00","16,850.00","4.39K","3.11%"
"01-03-2024","16,954.00","17,238.00","17,452.00","16,850.00","3.40K","-1.21%"
"29-02-2024","17,162.00","16,680.00","17,334.00","16,250.00","4.79K","2.94%"
"28-02-2024","16,672.00","16,700.00","16,900.00","16,484.00","3.20K","0.41%"
"27-02-2024","16,604.00","15,806.00","16,604.00","15,806.00","5.33K","5.99%"
"26-02-2024","15,666.00","15,350.00","15,898.00","15,302.00","2.33K","2.38%"
"23-02-2024","15,302.00","15,314.00","15,470.00","15,190.00","1.47K","0.33%"
"22-02-2024","15,252.00","15,400.00","15,540.00","15,154.00","1.51K","-1.18%"
"21-02-2024","15,434.00","15,700.00","15,754.00","15,326.00","1.69K","-0.89%"
"20-02-2024","15,572.00","15,330.00","15,780.00","15,240.00","2.99K","1.24%"
"19-02-2024","15,382.00","15,080.00","15,440.00","14,900.00","1.85K","1.26%"
"16-02-2024","15,190.00","15,344.00","15,620.00","15,112.00","1.72K","-0.91%"
